"bruises","capcolor","class","capshape","capsurface","gillattachment","gillcolor","gillsize","gillspacing","habitat","odor","population","ringnumber","ringtype","sporeprintcolor","stalkcolorabovering","stalkcolorbelowring","stalkroot","stalkshape","stalksurfaceabovering","stalksurfacebelowring","veilcolor","veiltype"
"f","g","e","f","f","f","g","n","c","u","n","v","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","f","f","f","g","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","f","f","f","g","n","c","u","n","y","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","f","f","f","g","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","f","f","f","h","b","w","g","n","a","o","e","n","w","w","e","t","f","f","w","p"
"f","g","e","f","f","f","h","b","w","g","n","a","o","e","n","w","w","e","t","s","s","w","p"
"f","g","e","f","f","f","k","n","c","u","n","y","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","f","f","f","n","b","w","g","n","a","o","e","n","w","w","e","t","s","s","w","p"
"f","g","e","f","f","f","n","n","c","u","n","v","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","f","f","f","n","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","f","f","f","n","n","c","u","n","y","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","f","f","f","n","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","f","f","f","p","b","w","g","n","a","o","e","k","w","w","e","t","s","s","w","p"
"f","g","e","f","f","f","p","b","w","g","n","s","o","e","k","w","w","e","t","s","f","w","p"
"f","g","e","f","f","f","p","n","c","u","n","v","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","f","f","f","p","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","f","f","f","p","n","c","u","n","y","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","f","f","f","p","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","f","s","f","h","b","w","g","n","a","o","e","n","w","w","e","t","f","f","w","p"
"f","g","e","f","s","f","k","b","w","g","n","a","o","e","n","w","w","e","t","s","s","w","p"
"f","g","e","f","s","f","k","b","w","g","n","s","o","e","k","w","w","e","t","s","f","w","p"
"f","g","e","f","s","f","n","b","w","g","n","s","o","e","k","w","w","e","t","s","f","w","p"
"f","g","e","f","s","f","p","b","w","g","n","a","o","e","k","w","w","e","t","s","s","w","p"
